name,calories,proteins,fat,carbohydrate
Abon,280,9.2,28.4,0
Abon haruwan,513,23.7,37,21.3
Agar-agar,0,0,0.2,0
Akar tonjong segar,45,1.1,0.4,10.8
Aletoge segar,37,4.4,0.5,3.8
Alpukat segar,85,0.9,6.5,7.7
Ampas kacang hijau,96,3.7,0.6,19.1
Ampas Tahu,414,26.6,18.3,41.3
Ampas tahu kukus,75,4.1,2.1,10.7
Ampas tahu mentah,67,5,2.1,8.1
Anak sapi daging gemuk segar,184,18.8,14,0
Anak sapi daging kurus segar,174,19.6,10,0
Anak sapi daging sedang segar,190,19.1,12,0
Andaliman segar,99,4.6,1,18
Andewi,25,1.6,0.2,5.3
Anggur hutan segar,30,0.5,0.2,6.8
Angsa,354,16.4,31.5,0
Anyang sayur,126,3.4,7.9,10.3
Apel,58,0.3,0.4,14.9
Apel malang segar,57,0.5,0.4,12.8
Arbei,37,0.8,0.5,8.3
Ares sayur,113,0.9,7.2,11.2
Arrowroot segar,102,1,0.2,24.1
Arwan sirsir,277,2.4,25,10.7
Asam kandis segar,75,0.2,1.1,16.1
Asam masak di pohon,239,2.8,0.6,62.5
Asam payak segar,135,0.8,0.4,32.1
Asan kandis kering,261,0.9,1.6,63.3
Asinan Bogor sayuran,98,3.9,2.6,14.8
Ayam,302,18.2,25,0
Ayam  goreng Kentuckysayap,297,35.9,15.2,1.6
Ayam ampela goreng,270,32.3,11.2,9.9
Ayam dideh/darah segar,75,13.8,1.9,0.7
Ayam goreng church texa sayap,295,34,16,1.5
Ayam goreng church texas dada,338,35.2,20.6,0.4
Ayam goreng kalasan paha,275,37.4,12.2,1.3
Ayam goreng kentucky dada,298,34.2,16.8,0.1
Ayam goreng Kentucky paha,286,32.1,16.1,1.1
Ayam goreng mbok berek dada,295,39.2,13.6,1
Ayam goreng paha,287,31,15.7,1.7
Ayam goreng pasundan dada,246,37.9,9,0.7
Ayam goreng pasundan paha,245,33.1,11.4,0.3
Ayam goreng pioneer dada,295,37.4,14.7,0.6
Ayam goreng sukabumi dada,244,36.7,9.2,1
Ayam goreng sukabumi paha,283,35.7,14.3,0.5
Ayam hati segar,261,27.4,16.1,1.6
Ayam taliwang masakan,264,18.2,20.1,2.7
Ayam usus goreng,473,45.2,26.3,13.9
Babat,113,17.6,4.2,0
Babi daging gemuk segar,453,11.9,45,0
Babi daging kurus segar,371,14.1,35,0
Babi ginjal segar,110,16.3,4.6,0.8
Babi hati segar,129,19.7,4.8,1.7
Babi hutan masak rica masakan,491,24.6,16.3,0.2
Bacang,102.9,3.3,2.7,16.3
Bagea kelapa asin,450,3.2,13.9,78.1
Bagea kelapa manis,452,1.3,13.8,80.6
Bagea kenari asin,529,3.2,29.1,63.6
Bagea kenari manis,523,3.2,28.2,64.2
Bagea kw 1,416,6.5,9.4,76.3
Bagea kw 2,382,0.3,3.5,87.2
Baje,129,1.9,6.6,15.6
Bakpia kue,272,8.7,6.7,44.1
Bakso ,76,4.1,2.5,9.2
Bakung segar,27,2,0.2,4.2
Bakwan,280,8.2,10.2,39
Baligo,13,0.4,0.2,3
Bantal,190,3.3,0.3,43.5
Barongko,159,3.1,5.8,23.5
Batang Tading,137,4.3,4.8,19.1
Batar daan,107,2.2,2.2,19.6
Batatas gembili segar,76,1.1,0.9,16
Batatas kelapa ubi bakar,110,1.4,1.1,23.4
Batatas kelapa ubi kukus,92,1.2,0.3,21
Batatas kelapa ubi segar,89,1.1,0.1,21
Batatas tali ubi rebus,182,2.4,0.4,42.2
Bawang Bombay,45,1.4,0.2,10.3
Bawang Merah,39,1.5,0.3,0.2
Bawang Putih,95,4.5,0.2,23.1
Bayam kukus,30,1.3,0.7,5.8
Bayam Merah,51,4.6,0.5,10
Bayam merah segar,41,2.2,0.8,6.3
Bayam rebus,23,1.2,0.6,3.7
Bayam segar,36,3.5,0.5,6.5
Bayam tumis + oncom,102,3.7,6.7,6.9
Bayam tumis bersantan,48,1.4,4.2,2.6
Bebek (itik),326,16,28.6,0
Bebek alabio daging segar,303,11.3,27,3.7
Bebek daging goreng,300,24,20.7,4.5
Beberuk,65,1.1,5.2,3.5
Beef burger,258,10.6,9.5,32.5
Beef teriyaki masakan,151,8.6,3.1,22.3
Beef yakiniku masakan,132,9.8,1.1,20.7
Bekasam,116,11.9,4.9,6.1
Bekasang,78,11.4,2,3.6
Belibis daging segar,131,20.2,4.3,2.8
Belimbing,36,0.4,0.4,8.8
Belitung talas kukus,145,1.2,0.4,34.2
Belut goreng,417,25.9,19.4,32
Belut segar,70,14.6,0.8,1
Belutlaut segar,93,12.8,1.5,6.1
Bengkuang,55,1.4,0.2,12.8
Bentul (Komba)  talas segar,98,1.6,0.7,20.9
Bentul talas kukus,71,2.3,0.3,15.4
Beras Cerdas,350,2.7,1.1,82.3
Beras ganyong,364,3.4,0.7,86.3
Beras Giling,360,6.8,0.7,78.9
Beras Giling masak (nasi) ,178,2.1,0.1,40.6
Beras giling mentah,357,8.4,1.7,77.1
Beras giling var pelita mentah,369,9.5,1.4,77.1
Beras giling var rojolele mentah,357,8.4,1.7,77.1
Beras hitam mentah,351,8,1.3,76.9
Beras jagung kuning kering mentah,358,5.5,0.1,82.7
Beras jagung putih kering mentah,307,4.8,0.1,71.8
Beras Ketan Hitam,356,7,0.7,78
Beras Ketan Hitam kukus,181,4,1.2,37.3
Beras Ketan Hitam tape,166,3.8,1,34.4
Beras Ketan Hitam tumbuk,360,8,2.3,74.5
Beras ketan hitam tumbuk mentah,360,8,2.3,74.5
Beras Ketan Putih,362,6.7,0.7,79.4
Beras Ketan Putih kukus,163,3,0.4,35.7
Beras Ketan Putih tape,172,3,0.5,37.5
Beras Ketan Putih tumbuk,361,7.4,0.8,78.4
Beras ketan putih tumbuk mentah,361,7.4,0.8,78.4
Beras ladang mentah,376,7.5,3.8,78
Beras Menir,339,7.7,4.4,73
Beras menir mentah,362,7.7,4.4,73
Beras Merah tumbuk,359,7.5,0.9,77.6
Beras Parboiled,364,6.8,0.6,80.1
Beras parboiled,353,6.8,0.6,80
Beras Pecah Kulit,335,7.4,1.9,76.2
Beras Setengah Giling,363,7.6,1.1,78.3
Beras Siger,344,1.1,0.2,28.3
Beras tumbuk mentah,354,7.8,0.4,79.9
Beras tumbuk merah mentah,352,7.3,0.9,76.2
Betok wadi masakan,145,16.3,7,4.1
Bihun,360,4.7,0.1,82.1
Bihun Goreng ,154,3,4.5,25.5
Bihun goreng instan,381,6.1,3.9,80.3
Bihun Jagung mentah,354,0.5,0.3,87.4
Bihun mentah,348,4.7,0.1,82.1
Biji Jambu Mete,562,21.2,49.6,23.6
Biji Jambu Mete goreng,629,21.5,56.6,19.8
Biji nangka/Biji salak,262,2.3,5.4,51.1
Bika ambon,199,2.1,1.5,44.4
Bika Ambon ,225.7,3,0.3,52.9
Bir (4% alkohol),48,0.6,0,4.4
Biskuit,458,6.9,14.4,75.1
Bit,42,1.6,0.1,9.6
Biwah segar,51,0.3,0.1,12.1
Bonggol Pisang,43,2.6,0,11.6
Bonggol Pisang kering,245,3.4,0,66.2
Bongkrek (tempe bungkil),119,4.4,3.5,18.3
Boros Kunci,23,1,0.8,7.2
Boros Laja (lengkuas),22,1,0.3,4.7
Botok lamtoro,186,11.7,9.7,13
Brem,249,3.4,0.4,58
Brondong ,400,4,0.7,95.3
Brongkos,141,15.3,3.3,12.6
Buah Atung,23,0.8,0.2,5.2
Buah kelenting segar,110,1.4,2.1,21.4
Buah kelor,38,1.5,0.2,7.5
Buah kom segar,264,4,1.1,59.6
Buah Mentega (bisbul),39,0.7,0.2,9.7
Buah merah,87,2.6,2.7,13.1
Buah Naga Merah segar,71,1.7,3.1,9.1
Buah Naga Putih segar,56,0.8,1,10.9
Buah negri segar,55,1.2,0.1,12.2
Buah Nona,101,1.7,0.6,25.2
Buah rotan segar,78,0.6,0.3,18.2
Buah rukam segar,113,0.8,0.3,26.8
Buah ruruhi segar,29,2.1,0.7,3.6
Buah tuppa segar,67,0.4,0.2,15.9
Buaya daging dendeng mentah,365,49.6,4.8,30.8
Bubur ,60,1,60,13
Bubur sagu,167,0.2,4,33
Bubur tinotuan (Manado),156,2.3,0.2,15.6
Bulgogi masakan,72,11.4,4.9,1.4
Bulung Jajan,212,16.9,0.2,47.6
Bulung Sangu,237,14.7,0.2,56
Buncis,35,2.4,0.2,7.7
Buncis asam,60,5.1,0.5,8.5
Buncis rebus,30,2.2,0.2,6.4
Bunga pepaya segar,45,2.6,0.3,8.1
Bunga turi segar,42,2,1.1,6.1
Bungkil Biji Karet,333,29.3,3.3,50
Bungkil Kacang Tanah,336,37.4,13,30.5
Bungkil Kelapa,368,23,15,40
Buntil ,106,4.4,6.3,7.9
Buntil daun talas,141,4.4,10.2,8
Buras ,125.7,3.3,1.9,23.9
Burung sarang segar,281,37.5,0.3,32.1
Cabai gembor merah segar,38,1.6,0.8,6.3
Cabai hijau segar,26,0.7,0.3,5.2
Cabai merah kering,367,15.9,6.2,61.8
Cabai merah segar,36,1,0.3,7.3
Cabai rawit segar,120,4.7,2.4,19.9
Caisin segar,20,1.7,0.4,3.4
Cakalang asar (asap papua),155,20.1,3.8,10.2
Cake tape,323,4.9,11.5,50.1
Cammetutu,102,3.2,6,8.7
Cantel mentah,366,11,3.3,73
Cap cai sayur,97,5.8,6.3,4.2
Carica papaya segar,24,1.9,0.2,3.7
Cassavastick,460,0.8,18.7,17.2
Cempedak,116,3,0.4,28.6
Cengkeh kering,330,5.2,8.9,57.4
Centel,332,11,3.3,73
Ceriping getuk singkong,462,1.2,20.7,67.7
Chicken teriyaki masakan,168,13,9.6,7.5
Chikiniku masakan,143,9.8,1.4,22.8
Coklat bubuk,311,8,4,48.9
Coklat Manis batang,472,2,29.8,62.7
Coklat Pahit batang,504,5.5,52.9,29.2
Coklat Susu batang,381,9,35,53.6
Combro ,210,1.6,6.6,35.8
Corned Beef,241,16,25,0
Coto mangkasara kuda masakan,96,6.8,5.9,3.8
Coto mangkasara sapi masakan,84,6,6,1.4
Cue Selar Kuning,145,27,2.3,0
Cuka,12,0.1,0.1,5
Cumi-cumi goreng,265,40.6,10.1,0
Cumi-cumi segar,75,16.1,0.7,0.1
Daging Anak Sapi,190,19.1,12,0
Daging Asap,191,32,6,0
Daging Babi Gemuk,457,11.6,45,0
Daging Babi Kurus,376,14.1,35,0
Daging Domba,206,17.1,14.8,0
Daging Kambing,154,16.6,9.2,0
Daging Kerbau,84,18.7,0.5,0
Daging Kuda,118,18.1,4.1,0.9
Daging Sapi,207,18.8,14,0
Daun bangun-bangun segar,27,1.3,0.6,4
Daun Bawang,29,1.8,0.7,5.2
Daun bawang  merah segar,41,2,0.3,7.8
Daun bebuas segar,41,2.7,1,7.3
Daun belem segar,50,4.4,1.4,7.8
Daun Beluntas,42,1.8,0.5,9.4
Daun Cincau,122,6,1,26
Daun Gandaria,60,3.1,0.3,14
Daun gedi besar segar,58,2.9,0.7,10
Daun gelang segar,30,1.3,0.7,5.8
Daun gunda bali segar,50,4.6,0.9,7
Daun gunda serang segar,62,4.2,0.9,9.2
Daun Jambu Mete muda,73,4.6,0.5,16.2
Daun jampang segar,34,3.8,0.5,5.3
Daun jawaw seluang segar,93,5,1.3,15.3
Daun jonghe segar,27,2.1,0.7,4.4
Daun kacang ma segar,36,2.9,0.6,6.8
Daun Kacang Panjang,34,4.1,0.4,5.8
Daun Kacang Panjang kukus,40,3.7,0.3,8
Daun kacang panjang segar,30,3.1,0.3,5.8
Daun kasbi/singkong karet segar,92,4,3.6,10.9
Daun Katuk,59,4.8,1,11
Daun katuk rebus,53,5.3,0.9,9.1
Daun katuk segar,59,6.4,1,9.9
Daun Kecipir,47,5,0.5,8.5
Daun Kedondong,59,2.8,0.3,13.4
Daun Kelor,82,6.7,1.7,14.3
Daun Kelor rebus,61,6.1,0.9,10
Daun Kemangi,46,4,0.5,8.9
Daun kenikir segar,45,3.7,0.5,6.6
Daun kesum segar,48,4.5,0.8,9.1
Daun kol sawi segar,22,2.1,0.5,3.6
Daun Koro,23,3,0.3,3.7
Daun kubis segar,51,2.5,1.1,8
Daun Kumak,14,1.3,0.3,2.3
Daun Labu Siam,60,4,0.4,4.7
Daun Labu Waluh,30,3.6,0.6,4.5
Daun lamtoro segar,87,8.3,1.8,14.4
Daun leilem segar,76,2.8,0.2,15.8
Daun Leunca,45,4.7,0.5,8.1
Daun Lobak,30,2.3,0.4,5.8
Daun Lompong Tales,40,3,0.8,7.4
Daun Mangkokan,54,3.7,0.3,11.8
Daun matel ambon segar,71,6.8,1.6,11.5
Daun Melinjo,99,5,1.3,21.3
Daun Mengkudu Kukus,63,3.8,1.5,11.5
Daun ndusuk segar,166,1.7,0.5,38.8
Daun Oyong,22,1,0.1,5.3
Daun oyong segar,22,1,0.1,5.3
Daun Pakis,35,4,0.3,6.4
Daun pakis longgiho segar,54,2.2,3.6,3.1
Daun pakis segar,39,4.5,0.4,6.9
Daun pakis wambateu segar,53,3.4,1.2,7.2
Daun paku segar,29,3.4,0.1,6.5
Daun pangisegar,104,3.9,0.6,17.9
Daun pare segar,49,2.7,1,8.4
Daun pepaya segar,87,8,2,11.9
Daun Pete Cina,128,12,6.5,12.4
Daun Poh-pohan,37,2.5,0.8,6.9
Daun salam  bubuk,301,14.2,10.9,49
Daun selasih segar,62,4,0.5,10.5
Daun Semanggi,45,4.4,8,0.5
Daun semanggi segar,45,4.4,0.5,8.5
Daun simpur segar,53,3.2,2.5,7.6
Daun singkil segar,68,2,1,15.2
Daun Singkong,73,6.8,1.2,13
Daun singkong ambon segar,144,12.7,1.2,25.2
Daun singkong ampenan segar,50,6.2,1.1,7.1
Daun singkong kopang segar,74,6.3,0.7,10.7
Daun Singkong lodeh,55,4,0.5,8.5
Daun Singkong rebus,31,3.7,0.6,4.8
Daun singkong segar,50,6.2,1.1,7.1
Daun Sintrong,36,2.6,0.9,6.1
Daun talas rebus,27,1.3,0.2,5.9
Daun talas segar,59,3,0.4,13.5
Daun Tales,71,4.1,2.1,12.3
Daun Tales rebus,27,1.3,0.2,5.9
Daun tespong segar,70,2.9,0.3,13.9
Daun Ubi Jalar,47,2.8,0.4,10.4
Daun Ubi Jalar kukus,56,3.1,0.3,13
Daun ubi kuning segar,62,3.7,0.3,11.1
Daun ubi merah kukus,56,3.1,0.3,13
Daun ubi merah segar,48,3,0.3,10.8
Daun ubi putih segar,46,2.8,0.2,8.2
Daun ubi tinta segar,55,1.7,0.1,11.9
Deblo ,260,2,15,53
Dendeng belut goreng,382,55.7,14.1,8
Dendeng Daging Sapi,433,55,9,0
Dendeng mujahir goreng,598,74.3,26.9,9.2
Dideh darah ayam,77,13.8,1.9,0.7
Dideh darah sapi,104,21.9,1.1,0
Djibokum masakan,248,10,2.3,40.9
Dodol,395,3,5.7,81.2
Dodol bali,298,3.7,2.1,65.9
Dodol banjarmasin,368,2.6,8.6,70
Dodol galamai,348,0.4,3.8,76.1
Dodol kedondong,331,1.9,7.6,63.8
Dodol manado,373,4.3,16.5,51.9
Dodonkol ,17.5,3.3,2.3,39.5
Domba daging gemuk segar,317,15.7,27.7,0
Domba daging kurus  segar,202,17.1,14.8,0
Domba ginjal segar,100,16.6,3.3,1
Duku,63,1,0.2,16.1
Durian,134,2.5,3,28
Duwet segar,80,0.5,0.6,18.2
Eceng Gondok,18,1,0.2,3.8
Embacang,98,1.4,0.2,25.4
Empal (daging) Goreng masakan,248,36.2,6.9,10.1
Empal Goreng,590,18.5,57,0
Emping (kerupuk melinjo),345,12,1.5,71.5
Emping beras,403,10.6,2.2,85.3
Emping komak,355,17.8,4.6,60.7
Encung asam segar,122,3.5,4.5,17.5
Enting-enting gepuk hello kity,538,13.6,30.3,52.6
Enting-enting gepuk kacang tanah,524,13.3,29.2,52
Enting-enting wijen,565,18.2,38.4,36.8
Erbis,70,0.6,0,18.9
Es krim,210,4,12.5,20.6
Es Krim (Coconut milk) ,156.7,3,1.7,32.7
Es Mambo ,152,0,0,37.6
Es Sirup ,44.8,0,0,11.3
Fillet o-fish,270,12.3,15.9,19.3
Gadeng/Gadung kering,322,2.4,0.6,76.6
Gado-gado,137,6.1,3.2,21
Gadung kukus,88,0.8,0.3,20.9
Gadung mentah,101,2.1,0.2,23.2
Gadung ubi kukus,88,0.6,0.3,20.9
Gadung ubi segar,100,0.9,0.3,23.5
Gambas (Oyong),18,0.8,0.2,4.1
Gambas lodeh,13,0.3,0.6,1.6
Gandaria,68,0.7,0.1,18
Ganyong kukus,100,0.8,0.2,23.8
Ganyong mentah,95,1,0.1,22.6
Ganyong rebus,100,0.8,0.2,23.8
Ganyong segar,77,0.6,0.2,18.4
Gaplek,338,1.5,0.7,81.3
Gatep segar,191,4.5,1.5,39.7
Gatot,347,1.3,0.7,83.8
Geblek,195,0.4,1.7,44.4
Gelatine,389,0,0,91
Gembili,95,1.5,0.1,22.4
Gembili ubi segar,131,1.1,0.2,31.3
Gemblong,274,1.7,5.4,55.5
Gendar goreng,407,6.4,28.2,32
Genjer segar,35,1.7,0.2,7.7
Geplak,350,1.4,14.4,53.6
Geplak jahe,462,3.1,24.4,57.7
Gete kuah asam masakan,75,8.2,2,6
Getuk goreng,360,1.3,6.4,74.3
Getuk Lindri ,171.4,4,4,32
Getuk pisang,144,1.1,0.4,34.1
Getuk singkong,204,0.5,1.4,47.4
Ginjal Babi,114,16.3,4.6,0.8
Ginjal Domba,105,16.6,3.3,1
Ginjal Sapi,141,15,8.1,0.9
Gudeg ,53,1.6,1.6,8.8
Gudeg sayur,160,3.3,9.2,16
Gula Aren,368,0,0,95
Gula Kelapa,386,3,10,76
Gula Merah Tebu belum dimurnikan,356,0.4,0.5,90.6
Gula putih,394,0,0,94
Gulai asam keueung masakan,52,10,0.5,1.8
Gulai ikan masakan,106,16.5,3.3,2.5
Gulai ikan paya masakan,148,10,9.8,5
Gulai kambing,126,4.2,9.4,6.2
Gulai keumamah masakan,110,5.9,8.2,3.2
Gulai pakis,143,4,11.4,6
Gulai pliek,176,7.3,14.9,3.2
Gulai tiram masakan,132,9,7.2,7.8
Gurame asem manis masakan,192,12.7,10.1,12.7
Gurandil,218,0.5,2.5,48.5
Ham,389,16.9,35,0.3
Hangop,65,10,1,3.5
Hati Babi,134,19.7,4.8,1.7
Hati Sapi,136,19.7,3.2,6
Havermout,390,14.2,7.4,68.2
Hofa/Ubi hutan segar,127,1.2,0.5,29.5
Ikan asar merah masakan,146,17.7,5.9,5.6
Ikan Asin bilis goreng,380,33.6,27.5,0
Ikan Asin gabus goreng,456,46.5,24.4,0
Ikan Asin japuh goreng,348,18.7,29.5,0
Ikan Asin kering,193,42,1.5,0
Ikan Asin pari goreng,430,58.2,23.6,0
Ikan Asin pepetek goreng,652,40.4,54.3,0
Ikan Asin sirinding goreng,319,6.9,31.7,0
Ikan Asin teri goreng,430,33.4,32.4,0
Ikan Bader (Tawes),198,19,13,0
Ikan balong segar,107,16.5,3.9,1.5
Ikan bambangan segar,112,20,1.3,3.7
Ikan Bandeng,129,20,4.8,0
Ikan bandeng presto masakan,296,17.1,20.3,11.3
Ikan banjar segar,111,19.4,0.9,4.8
Ikan baronang segar,78,14.5,0.6,3.7
Ikan baung bakar,144,17.8,5.8,5.2
Ikan baung segar,123,15.1,5.5,3.3
Ikan Bawal,96,19,1.7,0
Ikan Bekasang,138,14,0.7,7.4
Ikan Belida bakar,128,18,3,7.2
Ikan Belida segar,80,14.7,1.4,2.2
Ikan Belut Segar goreng,417,25.9,19.4,32
Ikan Belut Segar mentah,82,6.7,1,10.9
Ikan Beunteur,66,14,0,0
Ikan biawan segar,90,14.9,2.5,2.1
Ikan bili segar,88,14.2,0.7,6.2
Ikan bubara segar,100,14.7,2.4,4.9
Ikan bulan-bulan segar,134,25.5,1.3,5
Ikan cakalang asap mentah,204,34.2,5.6,1.9
Ikan cakalang asin mentah,198,36.5,2.2,5.5
Ikan cakalang hati segar,120,11.3,3.9,10
Ikan cakalang jantung segar,116,11.2,1.2,10.2
Ikan cakalang perut segar,86,10.2,1.1,8.7
Ikan cakalang segar,107,19.6,0.7,5.5
Ikan calo/ peda mentah,81,11.4,1.9,3.8
Ikan daun segar,101,11.5,4.1,4.6
Ikan Ekor Kuning,109,17,4,0
